condition,cc,flows,value,unit
normal,cubic,1,35.06,Gbits/sec
normal,bbr,1,7.39,Gbits/sec
normal,bic,1,35.03,Gbits/sec
normal,cdg,1,35.52,Gbits/sec
normal,dctcp,1,35.42,Gbits/sec
normal,highspeed,1,35.50,Gbits/sec
normal,htcp,1,35.05,Gbits/sec
normal,hybla,1,35.59,Gbits/sec
normal,illinois,1,35.14,Gbits/sec
normal,lp,1,35.48,Gbits/sec
normal,nv,1,15.02,Gbits/sec
normal,scalable,1,35.42,Gbits/sec
normal,veno,1,34.45,Gbits/sec
normal,westwood,1,34.16,Gbits/sec
normal,cubic,10,27.86,Gbits/sec
normal,bbr,10,13.91,Gbits/sec
normal,bic,10,27.38,Gbits/sec
normal,cdg,10,24.64,Gbits/sec
normal,dctcp,10,27.84,Gbits/sec
normal,highspeed,10,27.38,Gbits/sec
normal,htcp,10,26.44,Gbits/sec
normal,hybla,10,27.07,Gbits/sec
normal,illinois,10,27.26,Gbits/sec
normal,lp,10,27.06,Gbits/sec
normal,nv,10,12.88,Gbits/sec
normal,scalable,10,26.96,Gbits/sec
normal,veno,10,26.61,Gbits/sec
normal,westwood,10,26.63,Gbits/sec
delay50_loss2_bw10,cubic,1,1.97,Mbits/sec
delay50_loss2_bw10,bbr,1,5.96,Mbits/sec
delay50_loss2_bw10,bic,1,3.77,Mbits/sec
delay50_loss2_bw10,cdg,1,1.54,Mbits/sec
delay50_loss2_bw10,dctcp,1,2.21,Mbits/sec
delay50_loss2_bw10,highspeed,1,1.51,Mbits/sec
delay50_loss2_bw10,htcp,1,2.17,Mbits/sec
delay50_loss2_bw10,hybla,1,3.05,Mbits/sec
delay50_loss2_bw10,illinois,1,7.20,Mbits/sec
delay50_loss2_bw10,lp,1,2.38,Mbits/sec
delay50_loss2_bw10,nv,1,2.18,Mbits/sec
delay50_loss2_bw10,scalable,1,4.78,Mbits/sec
delay50_loss2_bw10,veno,1,2.65,Mbits/sec
delay50_loss2_bw10,westwood,1,2.88,Mbits/sec
delay50_loss2_bw10,cubic,10,5.96,Mbits/sec
delay50_loss2_bw10,bbr,10,7.64,Mbits/sec
delay50_loss2_bw10,bic,10,6.62,Mbits/sec
delay50_loss2_bw10,cdg,10,6.22,Mbits/sec
delay50_loss2_bw10,dctcp,10,6.84,Mbits/sec
delay50_loss2_bw10,highspeed,10,6.51,Mbits/sec
delay50_loss2_bw10,htcp,10,6.27,Mbits/sec
delay50_loss2_bw10,hybla,10,6.52,Mbits/sec
delay50_loss2_bw10,illinois,10,6.89,Mbits/sec
delay50_loss2_bw10,lp,10,6.86,Mbits/sec
delay50_loss2_bw10,nv,10,6.68,Mbits/sec
delay50_loss2_bw10,scalable,10,6.49,Mbits/sec
delay50_loss2_bw10,veno,10,6.46,Mbits/sec
delay50_loss2_bw10,westwood,10,7.75,Mbits/sec
